MODE READ	   DATA-WRITE ATTR-WRITE
b05 attr       NOP        zero      
b06 or         zero       zero      
b07 attr       NOP        zero      
b08 zero       zero       NOP       
b09 zero       NOP        NOP       
b0a data       zero       NOP       
b0b zero       NOP        NOP       
b0c data       zero       NOP       
b0d zero       NOP        NOP       
b0e data       zero       NOP       
b0f zero       NOP        NOP       
c00 and        one        zero      
c01 zero       NOP        zero      
c02 and        one        zero      
c03 attr       NOP        zero      
c04 and        one        zero      
c05 attr       NOP        zero      
c06 or         one        zero      
c07 attr       NOP        zero      
c08 zero       one        NOP       
c09 zero       NOP        NOP       
c0a data       one        NOP       
c0b zero       NOP        NOP       
c0c data       one        NOP       
c0d zero       NOP        NOP       
c0e data       one        NOP       
c0f zero       NOP        NOP       
d00 and        zero       zero      
d01 zero       NOP        zero      
d02 and        zero       zero      
d03 attr       NOP        zero      
d04 and        zero       zero      
d05 attr       NOP        zero      
d06 or         zero       zero      
d07 attr       NOP        zero      
d08 zero       zero       NOP       
d09 zero       NOP        NOP       
d0a data       zero       NOP       
d0b zero       NOP        NOP       
d0c data       zero       NOP       
d0d zero       NOP        NOP       
d0e data       zero       NOP       
d0f zero       NOP        NOP       
e00 and        one        zero      
e01 zero       NOP        zero      
e02 and        one        zero      
e03 attr       NOP        zero      
e04 and        one        zero      
e05 attr       NOP        zero      
e06 or         one        zero      
e07 attr       NOP        zero      
e08 zero       one        NOP       
e09 zero       NOP        NOP       
e0a data       one        NOP       
e0b zero       NOP        NOP       
e0c data       one        NOP       
e0d zero       NOP        NOP       
e0e data       one        NOP       
e0f zero       NOP        NOP       
f00 and        zero       zero      
f01 zero       NOP        zero      
f02 and        zero       zero      
f03 attr       NOP        zero      
f04 and        zero       zero      
f05 attr       NOP        zero      
f06 or         zero       zero      
f07 attr       NOP        zero      
f08 zero       zero       NOP       
f09 zero       NOP        NOP       
f0a data       zero       NOP       
f0b zero       NOP        NOP       
f0c data       zero       NOP       
f0d zero       NOP        NOP       
f0e data       zero       NOP       
f0f zero       NOP        NOP       

Notes on bits:

low byte:
bit 0: if clear, write to data; if set, data writing not active
bit 3: if clear, write to attr; if set, attr writing not active

high byte:
bit 0: if clear, set data and clear attr (if active); if set, opposite
